name	mod	context	context_source	default	live	english	russian
Build Current Structure	minecraft	IN_GAME	bytecode	key.keyboard.b:ALT	key.keyboard.b:ALT		
Inertia Module	minecraft	UNIVERSAL	assumed	key.keyboard.l	key.keyboard.l		
Magnet Module	minecraft	UNIVERSAL	assumed	key.keyboard.p	key.keyboard.p		
Night Vision Module	minecraft	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n		
Speed Module	minecraft	UNIVERSAL	assumed	key.keyboard.k	key.keyboard.k		
accessories.key.open_accessories_screen	accessories	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h		
aperture_innovations.portal_gun.pick_up	aperture_innovations	IN_GAME	bytecode		key.keyboard.g	Pick Up via Portal Gun	
aperture_innovations.portal_gun.primary_fire	aperture_innovations	IN_GAME	bytecode		key.mouse.left	Primary Fire	
aperture_innovations.portal_gun.reset	aperture_innovations	IN_GAME	bytecode		key.keyboard.r	Reset Portal Gun	
aperture_innovations.portal_gun.secondary_fire	aperture_innovations	IN_GAME	bytecode		key.mouse.right	Secondary Fire	
artifacts.key.charm_of_shrinking.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Charm of Shrinking	
artifacts.key.charm_of_sinking.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Charm of Sinking	
artifacts.key.helium_flamingo.activate	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Activate Helium Flamingo	Активировать гелиевого фламинго
artifacts.key.night_vision_goggles.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Night Vision Goggles	Вкл/выкл очки ночного видения
artifacts.key.scarf_of_invisibility.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Scarf of Invisibility	
artifacts.key.universal_attractor.toggle	artifacts	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Universal Attractor	Вкл/выкл универсальный магнит
crafting_on_a_stick.key.open_curios	crafting_on_a_stick	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Open Crafting on a Stick	
crashutils.copycontainer	crashutilities	GUI	bytecode	key.keyboard.unknown	key.keyboard.unknown	Copy Container Class	
crashutils.openscreen	crashutilities	IN_GAME	bytecode	key.keyboard.u:CONTROL	key.keyboard.u:CONTROL	Open the Crash Utilities Screen	
crashutils.slottooltips	crashutilities	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Show Slot Index Tooltips	
create.keyinfo.alt_modifier	create	UNIVERSAL	assumed		key.keyboard.left.alt	Alt Modifier	
create.keyinfo.ctrl_modifier	create	UNIVERSAL	assumed		key.keyboard.left.control	Ctrl Modifier	
create.keyinfo.rotate_menu	create	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Block Rotation Menu	Открыть меню вращения блока
create.keyinfo.shift_modifier	create	UNIVERSAL	assumed		key.keyboard.left.shift	Shift Modifier	
create.keyinfo.toolbelt	create	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Access Nearby Toolboxes	Доступ к ящикам для инструментов
create.keyinfo.toolmenu	create	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Focus Schematic Overlay	Фокусировка на интерфейсе схематики
dndesires.keyinfo.drill_active	dndesires	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Active Handheld Drill Action	
dndesires.keyinfo.saw_active	dndesires	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Active Handheld Saw Action	
equipmentcompare.key.showTooltips	equipmentcompare	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Show Comparison Tooltip	Показывать сравнение предметов
framedblocks.key.update_cull	framedblocks	UNIVERSAL	assumed	key.keyboard.f9	key.keyboard.f9	Update culling cache	Обновить кэш отсечения
framedblocks.key.wipe_cache	framedblocks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Clear model cache	Очистить кэш моделей
ftbultimine.change_shape.next	ftbultimine	UNIVERSAL	assumed	key.keyboard.up	key.keyboard.up	Cycle to Next Shape	Переключиться на след. форму
ftbultimine.change_shape.prev	ftbultimine	UNIVERSAL	assumed	key.keyboard.down	key.keyboard.down	Cycle to Previous Shape	Переключиться на пред. форму
gui.xaero_alternative_list_players	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	"List Players" Alternative	Альтернатива «Списка игроков»
gui.xaero_display_all_sets	xaerominimap	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle All WP Sets Render	Показывать все наборы меток
gui.xaero_enlarge_map	xaerominimap	UNIVERSAL	assumed	key.keyboard.z	key.keyboard.z	Enlarge Minimap	Увеличить мини-карту
